Fecha Tiempo	Temp (°C)  #1290674	Temp (°C)  #1290674	Temp (°C)  #1290674
09/08/2011 07:46:32,0	-9.851	16.034	46.866
09/08/2011 07:47:32,0	-9.782	18.200	51.489
09/08/2011 07:48:32,0	-8.663	18.129	51.845
09/08/2011 07:49:32,0	-8.000	18.200	51.880
09/08/2011 07:50:32,0	-7.935	18.271	52.131
09/08/2011 07:51:32,0	-8.033	18.224	52.311
09/08/2011 07:52:32,0	-8.231	18.200	52.383
09/08/2011 07:53:32,0	-8.430	18.200	52.383
09/08/2011 07:54:32,0	-8.831	18.105	52.059
09/08/2011 07:55:32,0	-8.831	17.986	52.419
09/08/2011 07:56:32,0	-8.898	18.033	52.383
09/08/2011 07:57:32,0	-8.999	18.081	52.167
09/08/2011 07:58:32,0	-9.954	17.915	51.916
09/08/2011 07:59:32,0	-10.371	17.891	51.916
09/08/2011 08:00:32,0	-10.581	17.748	51.773
09/08/2011 08:01:32,0	-10.651	17.796	51.738
09/08/2011 08:02:32,0	-10.792	17.724	51.667
09/08/2011 08:03:32,0	-10.898	17.701	51.489
09/08/2011 08:04:32,0	-10.898	17.701	51.773
09/08/2011 08:05:32,0	-11.076	17.724	51.880
09/08/2011 08:06:32,0	-11.218	17.748	51.988
09/08/2011 08:07:32,0	-11.254	17.772	52.024
09/08/2011 08:08:32,0	-11.397	17.724	52.095
09/08/2011 08:09:32,0	-11.541	17.701	51.952
09/08/2011 08:10:32,0	-11.613	17.677	52.024
09/08/2011 08:11:32,0	-11.650	17.701	51.988
09/08/2011 08:12:32,0	-11.758	17.605	51.988
09/08/2011 08:13:32,0	-11.794	17.653	51.988
09/08/2011 08:14:32,0	-11.722	17.677	52.059
09/08/2011 08:15:32,0	-11.686	17.653	52.347
09/08/2011 08:16:32,0	-11.758	17.653	52.419
09/08/2011 08:17:32,0	-11.686	17.653	52.419
09/08/2011 08:18:32,0	-11.831	17.653	52.383
09/08/2011 08:19:32,0	-11.831	17.629	52.419
09/08/2011 08:20:32,0	-11.867	17.653	52.383
09/08/2011 08:21:32,0	-12.013	17.582	52.383
09/08/2011 08:22:32,0	-12.049	17.605	52.383
09/08/2011 08:23:32,0	-12.159	17.534	52.383
09/08/2011 08:24:32,0	-12.159	17.582	52.528
09/08/2011 08:25:32,0	-12.123	17.605	52.746
09/08/2011 08:26:32,0	-12.196	17.558	52.528
09/08/2011 08:27:32,0	-12.159	17.391	52.746
09/08/2011 08:28:32,0	-12.159	17.653	52.818
09/08/2011 08:29:32,0	-12.233	17.368	52.637
09/08/2011 08:30:32,0	-12.233	17.415	52.709
09/08/2011 08:31:32,0	-12.306	17.391	52.600
09/08/2011 08:32:32,0	-12.233	17.677	52.818
09/08/2011 08:33:32,0	-12.196	17.439	52.928
09/08/2011 08:34:32,0	-12.269	17.463	52.928
09/08/2011 08:35:32,0	-12.343	17.415	52.891
09/08/2011 08:36:32,0	-12.417	17.368	52.928
09/08/2011 08:37:32,0	-12.454	17.605	52.964
09/08/2011 08:38:32,0	-12.454	17.391	53.001
09/08/2011 08:39:32,0	-12.528	17.391	52.928
09/08/2011 08:40:32,0	-12.528	17.391	52.891
09/08/2011 08:41:32,0	-12.602	17.368	52.928
