Fecha Tiempo	Temp (°C)  #1290652	Temp (°C)  #1290652	Temp (°C)  #1290652
10/22/2010 16:00:00,0	34.466	29.240	25.258
10/22/2010 16:01:00,0	34.492	29.240	25.162
10/22/2010 16:02:00,0	34.492	29.240	25.234
10/22/2010 16:03:00,0	34.519	29.265	25.210
10/22/2010 16:04:00,0	34.545	29.290	25.186
10/22/2010 16:05:00,0	34.545	29.290	25.137
10/22/2010 16:06:00,0	34.545	29.290	24.919
10/22/2010 16:07:00,0	34.545	29.290	24.774
10/22/2010 16:08:00,0	34.545	29.290	24.871
10/22/2010 16:09:00,0	34.545	29.265	24.798
10/22/2010 16:10:00,0	34.572	29.265	24.823
10/22/2010 16:11:00,0	34.545	29.265	24.871
10/22/2010 16:12:00,0	34.651	29.340	24.823
10/22/2010 16:13:00,0	34.730	29.315	24.871
10/22/2010 16:14:00,0	34.757	29.315	24.847
10/22/2010 16:15:00,0	34.783	29.290	24.823
10/22/2010 16:16:00,0	34.783	29.265	24.895
10/22/2010 16:17:00,0	34.783	29.265	24.847
10/22/2010 16:18:00,0	34.783	29.240	24.847
10/22/2010 16:19:00,0	34.783	29.240	24.871
10/22/2010 16:20:00,0	34.757	29.240	24.919
10/22/2010 16:21:00,0	34.783	29.215	24.944
10/22/2010 16:22:00,0	34.783	29.215	24.992
10/22/2010 16:23:00,0	34.810	29.215	24.968
10/22/2010 16:24:00,0	34.836	29.215	24.919
10/22/2010 16:25:00,0	34.836	29.215	24.968
10/22/2010 16:26:00,0	34.836	29.215	24.774
10/22/2010 16:27:00,0	34.863	29.215	24.750
10/22/2010 16:28:00,0	34.863	29.190	24.508
10/22/2010 16:29:00,0	34.863	29.215	24.653
10/22/2010 16:30:00,0	34.863	29.190	24.557
10/22/2010 16:31:00,0	34.863	29.190	24.532
10/22/2010 16:32:00,0	34.863	29.190	24.267
10/22/2010 16:33:00,0	34.863	29.165	24.339
10/22/2010 16:34:00,0	34.863	29.140	24.460
10/22/2010 16:35:00,0	34.889	29.140	24.508
10/22/2010 16:36:00,0	34.889	29.115	24.532
10/22/2010 16:37:00,0	34.889	29.090	24.581
10/22/2010 16:38:00,0	34.969	29.490	24.484
10/22/2010 16:39:00,0	35.155	29.490	24.508
10/22/2010 16:40:00,0	35.315	29.439	24.581
10/22/2010 16:41:00,0	35.475	29.765	24.484
10/22/2010 16:42:00,0	35.662	29.941	24.484
10/22/2010 16:43:00,0	35.797	29.690	24.339
10/22/2010 16:44:00,0	35.502	29.340	24.557
10/22/2010 16:45:00,0	34.995	29.015	24.653
10/22/2010 16:46:00,0	34.440	28.742	24.581
10/22/2010 16:47:00,0	33.940	28.593	24.557
10/22/2010 16:48:00,0	33.443	28.345	24.629
10/22/2010 16:49:00,0	32.949	28.122	24.605
10/22/2010 16:50:00,0	32.458	27.974	24.581
10/22/2010 16:51:00,0	32.047	27.875	24.581
10/22/2010 16:52:00,0	31.663	27.727	24.484
10/22/2010 16:53:00,0	31.306	27.604	24.460
10/22/2010 16:54:00,0	30.976	27.505	24.388
10/22/2010 16:55:00,0	30.646	27.382	24.363
10/22/2010 16:56:00,0	30.369	27.284	24.363
10/22/2010 16:57:00,0	30.091	27.186	24.363
10/22/2010 16:58:00,0	29.815	27.087	24.436
10/22/2010 16:59:00,0	29.565	26.989	24.532
10/22/2010 17:00:00,0	29.340	26.916	24.363
10/22/2010 17:01:00,0	29.140	26.818	24.388
10/22/2010 17:02:00,0	28.941	26.744	24.460
10/22/2010 17:03:00,0	28.742	26.646	24.412
10/22/2010 17:04:00,0	28.766	27.014	24.460
10/22/2010 17:05:00,0	29.540	27.333	24.460
10/22/2010 17:06:00,0	30.343	27.456	24.508
10/22/2010 17:07:00,0	31.001	27.530	24.484
10/22/2010 17:08:00,0	31.561	27.653	24.508
10/22/2010 17:09:00,0	32.047	27.751	24.484
10/22/2010 17:10:00,0	32.433	27.850	24.460
10/22/2010 17:11:00,0	32.768	27.949	24.436
10/22/2010 17:12:00,0	33.027	28.023	24.267
10/22/2010 17:13:00,0	33.235	28.097	24.339
10/22/2010 17:14:00,0	33.417	28.196	24.484
10/22/2010 17:15:00,0	33.574	28.245	24.460
10/22/2010 17:16:00,0	33.678	28.295	24.436
10/22/2010 17:17:00,0	33.704	28.221	24.339
10/22/2010 17:18:00,0	33.548	28.518	24.339
10/22/2010 17:19:00,0	33.626	28.593	24.315
10/22/2010 17:20:00,0	33.809	28.593	24.315
10/22/2010 17:21:00,0	33.966	28.593	24.291
10/22/2010 17:22:00,0	34.124	28.593	24.315
10/22/2010 17:23:00,0	34.229	28.593	24.363
10/22/2010 17:24:00,0	34.308	28.617	24.339
10/22/2010 17:25:00,0	34.334	28.617	24.291
10/22/2010 17:26:00,0	34.387	28.617	24.291
10/22/2010 17:27:00,0	34.281	28.742	24.267
10/22/2010 17:28:00,0	34.360	28.816	24.339
10/22/2010 17:29:00,0	34.440	28.841	24.267
10/22/2010 17:30:00,0	34.545	28.866	24.267
10/22/2010 17:31:00,0	34.783	28.990	24.219
10/22/2010 17:32:00,0	34.942	29.015	24.243
10/22/2010 17:33:00,0	35.049	29.015	24.098
10/22/2010 17:34:00,0	35.075	29.015	24.098
10/22/2010 17:35:00,0	35.102	28.990	24.122
10/22/2010 17:36:00,0	35.128	28.990	24.195
10/22/2010 17:37:00,0	35.155	28.965	24.219
10/22/2010 17:38:00,0	35.182	28.941	24.243
10/22/2010 17:39:00,0	35.208	28.941	24.219
10/22/2010 17:40:00,0	35.235	28.941	24.219
