"","fecha","hora","nido","amb","patron","ts","event_number","alpha","T_s","day_since_laying"
"480","09/08/11","15:48:02",36.579,26.573,"cooling",2011-09-08 15:48:02,1,-0.0763777664862136,26.394,NA
"481","09/08/11","15:49:02",35.662,26.378,"cooling",2011-09-08 15:49:02,1,-0.0763777664862136,26.394,NA
"482","09/08/11","15:50:02",34.889,26.329,"cooling",2011-09-08 15:50:02,1,-0.0763777664862136,26.394,NA
"483","09/08/11","15:51:02",34.229,26.256,"cooling",2011-09-08 15:51:02,1,-0.0763777664862136,26.394,NA
"484","09/08/11","15:52:02",33.626,26.256,"cooling",2011-09-08 15:52:02,1,-0.0763777664862136,26.394,NA
"485","09/08/11","15:53:02",33.339,26.353,"cooling",2011-09-08 15:53:02,1,-0.0763777664862136,26.394,NA
"486","09/08/11","15:54:02",32.975,26.304,"cooling",2011-09-08 15:54:02,1,-0.0763777664862136,26.394,NA
"487","09/08/11","15:55:02",32.304,26.28,"cooling",2011-09-08 15:55:02,1,-0.0763777664862136,26.394,NA
"488","09/08/11","15:56:02",31.893,26.304,"cooling",2011-09-08 15:56:02,1,-0.0763777664862136,26.394,NA
"489","09/08/11","15:57:02",31.561,26.426,"cooling",2011-09-08 15:57:02,1,-0.0763777664862136,26.394,NA
"490","09/08/11","15:58:02",31.281,26.451,"cooling",2011-09-08 15:58:02,1,-0.0763777664862136,26.394,NA
"491","09/08/11","15:59:02",31.001,26.818,"cooling",2011-09-08 15:59:02,1,-0.0763777664862136,26.394,NA
"492","09/08/11","16:00:02",30.495,26.28,"warming",2011-09-08 16:00:02,2,-0.763592681699105,35.5949995297218,NA
"4931","09/08/11","16:01:02",33.339,26.158,"warming",2011-09-08 16:01:02,2,-0.763592681699105,35.5949995297218,NA
"4941","09/08/11","16:02:02",34.36,26.207,"warming",2011-09-08 16:02:02,2,-0.763592681699105,35.5949995297218,NA
"4951","09/08/11","16:03:02",35.128,26.256,"on_asymptote",2011-09-08 16:03:02,3,-0.763592681699105,35.5949995297218,NA
"4961","09/08/11","16:04:02",35.235,26.28,"on_asymptote",2011-09-08 16:04:02,3,-0.763592681699105,35.5949995297218,NA
"4971","09/08/11","16:05:02",35.502,26.304,"on_asymptote",2011-09-08 16:05:02,3,-0.763592681699105,35.5949995297218,NA
"4981","09/08/11","16:06:02",35.582,26.256,"on_asymptote",2011-09-08 16:06:02,3,-0.763592681699105,35.5949995297218,NA
"4991","09/08/11","16:07:02",35.555,26.085,"on_asymptote",2011-09-08 16:07:02,3,-0.763592681699105,35.5949995297218,NA
"5001","09/08/11","16:08:02",35.716,26.036,"on_asymptote",2011-09-08 16:08:02,3,-0.763592681699105,35.5949995297218,NA
"5011","09/08/11","16:09:02",35.662,26.158,"on_asymptote",2011-09-08 16:09:02,3,-0.763592681699105,35.5949995297218,NA
"5021","09/08/11","16:10:02",35.636,26.158,"on_asymptote",2011-09-08 16:10:02,3,-0.763592681699105,35.5949995297218,NA
"5031","09/08/11","16:11:02",35.502,26.085,"on_asymptote",2011-09-08 16:11:02,3,-0.763592681699105,35.5949995297218,NA
"5041","09/08/11","16:12:02",35.502,26.036,"on_asymptote",2011-09-08 16:12:02,3,-0.763592681699105,35.5949995297218,NA
