"fecha","hora","nido","amb","patron","ts","event_number","alpha","T_s"
"09/08/11","12:48:02",26.475,26.012,"warming",2011-09-08 12:48:02,1,-0.263210968052635,37.8099190797954
"09/08/11","12:49:02",27.407,25.89,"warming",2011-09-08 12:49:02,1,-0.263210968052635,37.8099190797954
"09/08/11","12:50:02",31.128,25.987,"warming",2011-09-08 12:50:02,1,-0.263210968052635,37.8099190797954
"09/08/11","12:51:02",32.975,25.939,"warming",2011-09-08 12:51:02,1,-0.263210968052635,37.8099190797954
"09/08/11","12:52:02",34.334,25.987,"warming",2011-09-08 12:52:02,1,-0.263210968052635,37.8099190797954
"09/08/11","12:53:02",35.342,26.134,"warming",2011-09-08 12:53:02,1,-0.263210968052635,37.8099190797954
"09/08/11","12:54:02",35.877,26.28,"warming",2011-09-08 12:54:02,1,-0.263210968052635,37.8099190797954
"09/08/11","12:55:02",36.308,26.207,"warming",2011-09-08 12:55:02,1,-0.263210968052635,37.8099190797954
"09/08/11","12:56:02",36.552,26.207,"on_asymptote",2011-09-08 12:56:02,2,-0.263210968052635,37.8099190797954
"09/08/11","12:57:02",36.606,25.987,"on_asymptote",2011-09-08 12:57:02,2,-0.263210968052635,37.8099190797954
"09/08/11","12:58:02",36.796,26.012,"on_asymptote",2011-09-08 12:58:02,2,-0.263210968052635,37.8099190797954
"09/08/11","12:59:02",36.96,25.817,"on_asymptote",2011-09-08 12:59:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:00:02",36.933,25.89,"on_asymptote",2011-09-08 13:00:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:01:02",37.015,26.012,"on_asymptote",2011-09-08 13:01:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:02:02",37.042,25.939,"on_asymptote",2011-09-08 13:02:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:03:02",37.069,25.939,"on_asymptote",2011-09-08 13:03:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:04:02",37.096,25.866,"on_asymptote",2011-09-08 13:04:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:05:02",37.042,25.914,"on_asymptote",2011-09-08 13:05:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:06:02",37.015,25.914,"on_asymptote",2011-09-08 13:06:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:07:02",37.042,25.963,"on_asymptote",2011-09-08 13:07:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:08:02",37.178,25.987,"on_asymptote",2011-09-08 13:08:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:09:02",37.343,25.963,"on_asymptote",2011-09-08 13:09:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:10:02",37.645,26.061,"on_asymptote",2011-09-08 13:10:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:11:02",38.087,26.061,"on_asymptote",2011-09-08 13:11:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:12:02",37.728,26.158,"on_asymptote",2011-09-08 13:12:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:13:02",39.008,26.134,"on_asymptote",2011-09-08 13:13:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:14:02",39.036,26.134,"on_asymptote",2011-09-08 13:14:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:15:02",39.886,26.231,"on_asymptote",2011-09-08 13:15:02,2,-0.263210968052635,37.8099190797954
"09/08/11","13:16:02",36.769,26.158,"cooling",2011-09-08 13:16:02,3,-0.0873889417837,26.2423636363636
"09/08/11","13:17:02",37.728,26.256,"cooling",2011-09-08 13:17:02,3,-0.0873889417837,26.2423636363636
"09/08/11","13:18:02",38.004,26.012,"cooling",2011-09-08 13:18:02,3,-0.0873889417837,26.2423636363636
"09/08/11","13:19:02",34.651,26.207,"cooling",2011-09-08 13:19:02,3,-0.0873889417837,26.2423636363636
"09/08/11","13:20:02",34.572,25.987,"cooling",2011-09-08 13:20:02,3,-0.0873889417837,26.2423636363636
"09/08/11","13:21:02",33.417,26.134,"cooling",2011-09-08 13:21:02,3,-0.0873889417837,26.2423636363636
"09/08/11","13:22:02",32.82,26.231,"cooling",2011-09-08 13:22:02,3,-0.0873889417837,26.2423636363636
"09/08/11","13:23:02",32.536,26.451,"cooling",2011-09-08 13:23:02,3,-0.0873889417837,26.2423636363636
"09/08/11","13:24:02",32.175,26.426,"cooling",2011-09-08 13:24:02,3,-0.0873889417837,26.2423636363636
"09/08/11","13:25:02",31.714,26.378,"cooling",2011-09-08 13:25:02,3,-0.0873889417837,26.2423636363636
"09/08/11","13:26:02",31.103,26.426,"cooling",2011-09-08 13:26:02,3,-0.0873889417837,26.2423636363636
"09/08/11","13:27:02",33.6,26.329,"warming",2011-09-08 13:27:02,4,-0.440542584559451,37.181058984184
"09/08/11","13:28:02",35.022,26.085,"warming",2011-09-08 13:28:02,4,-0.440542584559451,37.181058984184
"09/08/11","13:29:02",35.931,26.256,"warming",2011-09-08 13:29:02,4,-0.440542584559451,37.181058984184
"09/08/11","13:30:02",36.308,26.085,"warming",2011-09-08 13:30:02,4,-0.440542584559451,37.181058984184
"09/08/11","13:31:02",36.633,26.256,"warming",2011-09-08 13:31:02,4,-0.440542584559451,37.181058984184
"09/08/11","13:32:02",36.796,26.231,"warming",2011-09-08 13:32:02,4,-0.440542584559451,37.181058984184
"09/08/11","13:33:02",36.851,26.134,"warming",2011-09-08 13:33:02,4,-0.440542584559451,37.181058984184
"09/08/11","13:34:02",36.933,26.158,"warming",2011-09-08 13:34:02,4,-0.440542584559451,37.181058984184
"09/08/11","13:35:02",36.769,26.158,"on_asymptote",2011-09-08 13:35:02,5,-0.440542584559451,37.181058984184
